source,target,punk_type,event_type,punk_id,timestamp
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,7660,1498242071
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,8386,1498244025
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,8957,1498245324
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,9838,1498246642
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,9804,1498246642
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,9955,1498246679
0x0000000000000000000000000000000000000000,0x4c1147725bac8c98c0ee45ea09d650ae34f5165e,Zombie,Assign,7337,1498240868
0x0000000000000000000000000000000000000000,0x01486c3891761e93e5107890286abdc1834fc6d7,Zombie,Assign,2132,1498231506
0x0000000000000000000000000000000000000000,0x01486c3891761e93e5107890286abdc1834fc6d7,Ape,Assign,2924,1498232917
0x0000000000000000000000000000000000000000,0x01486c3891761e93e5107890286abdc1834fc6d7,Ape,Assign,8498,1498244113
0x0000000000000000000000000000000000000000,0xa9bfa94ab1497c08b7c02c9516d4eb1f07c90d40,Zombie,Assign,7458,1498241529
0x0000000000000000000000000000000000000000,0xa9bfa94ab1497c08b7c02c9516d4eb1f07c90d40,Zombie,Assign,7756,1498242458
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Ape,Assign,2460,1498232184
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,2560,1498232232
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,4513,1498234888
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,4830,1498235271
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,5234,1498235917
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,5573,1498236401
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,6297,1498238425
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,9368,1498245844
0x0000000000000000000000000000000000000000,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,Zombie,Assign,9909,1498246656
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Ape,Assign,2386,1498231971
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Ape,Assign,2711,1498232757
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Alien,Assign,2890,1498232810
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Alien,Assign,3100,1498232999
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Ape,Assign,4178,1498234695
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Ape,Assign,5795,1498236979
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Alien,Assign,5822,1498236982
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Alien,Assign,5905,1498237322
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Alien,Assign,6089,1498237861
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Ape,Assign,6915,1498239456
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Ape,Assign,6965,1498240270
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Alien,Assign,7523,1498241662
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Alien,Assign,7804,1498242649
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,Ape,Assign,9280,1498245770
0x0000000000000000000000000000000000000000,0x8884f2af43bcbd9ab81f7a4ac35f421df1926810,Alien,Assign,3443,1498233533
0x0000000000000000000000000000000000000000,0x000001f568875f378bf6d170b790967fe429c81a,Zombie,Assign,3636,1498233998
0x0000000000000000000000000000000000000000,0x000001f568875f378bf6d170b790967fe429c81a,Zombie,Assign,4472,1498234888
0x0000000000000000000000000000000000000000,0x63e776c2b49b46a2bbc00c31fb5073051b2d6172,Ape,Assign,4156,1498234695
0x0000000000000000000000000000000000000000,0x47d4f20ae83bcd350105f199f900e6e6104dab6a,Zombie,Assign,4559,1498235005
0x0000000000000000000000000000000000000000,0x000003e1e88a1110e961f135df8cdea4b1ffa81a,Zombie,Assign,4850,1498235271
0x0000000000000000000000000000000000000000,0x13c7bdff220cf27f382baa3d7a281614cbe54f37,Ape,Assign,5577,1498236401
0x0000000000000000000000000000000000000000,0x9f41a4b4a09721fee705681963141035dc0023af,Zombie,Assign,6275,1498238425
0x0000000000000000000000000000000000000000,0x9788301db1cde6bb33205eec2e4f6d7c1ed54625,Zombie,Assign,6704,1498239015
0x0000000000000000000000000000000000000000,0x3fba2d2da359ab8feae2bc451cc6a442e5d687e2,Zombie,Assign,7914,1498242831
0x0000000000000000000000000000000000000000,0x3fba2d2da359ab8feae2bc451cc6a442e5d687e2,Zombie,Assign,8127,1498243034
0xc352b534e8b987e036a93539fd6897f53488e56a,0xc2f87f88df0f2c602a9a7dc2e89cecdb9790d972,Zombie,PunkTransfer,987,1498787838
0xc352b534e8b987e036a93539fd6897f53488e56a,0xba19ba5233b49794c33f01654e99a60e579e6f29,Zombie,PunkBought,2329,1613166965
0xc352b534e8b987e036a93539fd6897f53488e56a,0x897aea3d51dcba918c41ae23f5d9a7411671dee0,Alien,PunkTransfer,635,1623268204
0xcbd482af76059e2a5e4a825c4cd5ced9f2dfe286,0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,Zombie,PunkTransfer,6491,1612030891
0xff84140cedeee480b804d211b48a2a6d68ba5941,0xd27e3f4f2c3576ecff31bbd113c71ca2e8f374e8,Zombie,PunkTransfer,1935,1500222563
0x5b098b00621eda6a96b7a476220661ad265f083f,0xcbd482af76059e2a5e4a825c4cd5ced9f2dfe286,Zombie,PunkTransfer,6491,1498281737
0x5b098b00621eda6a96b7a476220661ad265f083f,0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,Ape,PunkBought,9265,1498930362
0x5f7190b7943858b7bdd24f069241612091c6a986,0x2d91aa773670cc1974f33361b4fce11cb9c49808,Ape,PunkTransfer,2711,1599889579
0x5f7190b7943858b7bdd24f069241612091c6a986,0x69021ae8769586d56791d29615959997c2012b99,Ape,PunkTransfer,2711,1619327353
0x5f7190b7943858b7bdd24f069241612091c6a986,0x69021ae8769586d56791d29615959997c2012b99,Zombie,PunkTransfer,4747,1619327451
0x6611fe71c233e4e7510b2795c242c9a57790b376,0x24c5eba1f94b34efb3226ee3ae06884057752c2a,Alien,PunkBought,2890,1611429153
0x6611fe71c233e4e7510b2795c242c9a57790b376,0x7b8961f67382c51c389726667ef7dd7cf95fefd3,Alien,PunkBought,3100,1615496221
0x6611fe71c233e4e7510b2795c242c9a57790b376,0xd4b5d09a7f72ac7ebc1853fd2663bdd23c059b02,Zombie,PunkBought,1886,1625426414
0x6611fe71c233e4e7510b2795c242c9a57790b376,0x8e232860171762f6ff2d22d1fcc45af78bd3fbb5,Alien,PunkTransfer,6089,1633832318
0x6611fe71c233e4e7510b2795c242c9a57790b376,0x8e232860171762f6ff2d22d1fcc45af78bd3fbb5,Ape,PunkTransfer,9280,1633832744
0x6611fe71c233e4e7510b2795c242c9a57790b376,0x8e232860171762f6ff2d22d1fcc45af78bd3fbb5,Ape,PunkTransfer,5795,1633833844
0x00bd9fd57c423a1b1c969823d409156d90974d77,0xca8fe4acb1cb8b5550a3c71ffe2399f6c7016686,Zombie,PunkTransfer,6304,1520494518
0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,0x1f8adddd1afb62a35acbe9cb27b572183d00584e,Zombie,PunkBought,2249,1587874969
0xc5d739a29e3f97b59ddb1d8f46aaa2e46496d462,0x0f4023208058ecffcb22a7409df11f6d6013fe8a,Zombie,PunkBought,2329,1499032492
0xc5d739a29e3f97b59ddb1d8f46aaa2e46496d462,0x0cea5bd314d5f476f8b1613af143a922844c4ca6,Ape,PunkTransfer,5217,1500863419
0x36a5bc205df1ed65c86301022cfc343a6ce546ff,0xee3766e4f996dc0e0f8c929954eaafef3441de87,Ape,PunkBought,5314,1579283078
0x36a5bc205df1ed65c86301022cfc343a6ce546ff,0x2f2f237d2e655cc0a6f6fef761e5aef13087e71f,Zombie,PunkTransfer,7252,1627818624
0x36a5bc205df1ed65c86301022cfc343a6ce546ff,0x2f2f237d2e655cc0a6f6fef761e5aef13087e71f,Zombie,PunkTransfer,1526,1627818640
0x36a5bc205df1ed65c86301022cfc343a6ce546ff,0x2f2f237d2e655cc0a6f6fef761e5aef13087e71f,Ape,PunkTransfer,1021,1627818658
0x36a5bc205df1ed65c86301022cfc343a6ce546ff,0x2f2f237d2e655cc0a6f6fef761e5aef13087e71f,Ape,PunkTransfer,2491,1627818658
0x36a5bc205df1ed65c86301022cfc343a6ce546ff,0x2f2f237d2e655cc0a6f6fef761e5aef13087e71f,Ape,PunkTransfer,2243,1627818658
0xc2f87f88df0f2c602a9a7dc2e89cecdb9790d972,0x88c50035b55cbc584a1b7db517e11e2d24a2e4ba,Zombie,PunkTransfer,987,1613441326
0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,0x03911fecabd6b4809c88e2e6eb856ec932b2ee3e,Ape,PunkBought,6965,1514843241
0x58164b2d74c45f06cde451fc307092d55ebe5730,0x8e662143178bb8c797620a3a61f34a71832475b0,Zombie,PunkBought,2329,1524412399
0xd8e80673419acfbf15bf8eb0239cda90f232051f,0x4dcaf34d9fbc21c222c46bd0fc78b02609b00897,Ape,PunkBought,2924,1499918479
0xd8e80673419acfbf15bf8eb0239cda90f232051f,0x1aff1e0f1d5f76f92145a278d8c31af9ade783dd,Zombie,PunkBought,7458,1503935761
0xd8e80673419acfbf15bf8eb0239cda90f232051f,0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,Zombie,PunkBought,2249,1503935761
0x365e35652879023f12b5cf4c44eb9c1cf2f6f549,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,Zombie,PunkBought,1119,1614157405
0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,0xfba9ef04e1c51bc298d5c7c71514de68ba8cb9a0,Ape,PunkTransfer,9265,1634770617
0x7e23a0a9fd1105ca4b1dc9b7e0f0aab3b7071caa,0x0b87ca227ba6bb755d823ad4fee2b8e9d0e7a409,Zombie,PunkTransfer,9997,1600811019
0x0f4023208058ecffcb22a7409df11f6d6013fe8a,0x58164b2d74c45f06cde451fc307092d55ebe5730,Zombie,PunkBought,2329,1500491889
0x0f4023208058ecffcb22a7409df11f6d6013fe8a,0x03911fecabd6b4809c88e2e6eb856ec932b2ee3e,Zombie,PunkBought,1374,1514846119
0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,0x9c00c25fee258855360465f5c1759750c9a375a4,Zombie,PunkTransfer,2484,1601715067
0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,0x63a9dbce75413036b2b778e670aabd4493aaf9f3,Zombie,PunkBought,1190,1604265161
0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,0x3499ee5c0b3cfe381340d5839d0d8a74ea452a7f,Zombie,PunkTransfer,5412,1605551532
0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,0xbf6ccf49cc2874f01916d747a8fe97f14a082be0,Zombie,PunkBought,2681,1609021250
0x8234be55f64ea91960b78357906cf5bebce81f3d,0x9aa6eb65f042e197d1293f36c5bb887dfb9e585c,Zombie,PunkBought,8857,1525291344
0x585f98cf291f081405412edafcf471d19003ca9c,0x7760e0243ca9baa630412865df7b39afba42ff0f,Ape,PunkBought,7191,1515996152
0x585f98cf291f081405412edafcf471d19003ca9c,0x7760e0243ca9baa630412865df7b39afba42ff0f,Ape,PunkBought,6145,1515996668
0x585f98cf291f081405412edafcf471d19003ca9c,0x33eaaee9d0a6192d11bbb370aee0e5d22c3335b5,Ape,PunkTransfer,8219,1602165842
0x585f98cf291f081405412edafcf471d19003ca9c,0x33eaaee9d0a6192d11bbb370aee0e5d22c3335b5,Ape,PunkTransfer,4464,1602165862
0xaac01287db710d7f8c7cfbaee833c8b8b3546c3e,0x0cea5bd314d5f476f8b1613af143a922844c4ca6,Ape,PunkTransfer,2140,1500863332
0xaac01287db710d7f8c7cfbaee833c8b8b3546c3e,0x0cea5bd314d5f476f8b1613af143a922844c4ca6,Zombie,PunkTransfer,8909,1500863379
0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0xe3d78ce35d90bc404a71121c4585b138bb3d419e,Zombie,PunkTransfer,5742,1559862189
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,Zombie,PunkBought,5742,1498617014
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,Zombie,PunkBought,1886,1498654489
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,Zombie,PunkBought,1374,1498661128
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,Zombie,PunkBought,2249,1499204673
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,Zombie,PunkBought,2338,1499206992
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x5f7190b7943858b7bdd24f069241612091c6a986,Zombie,PunkBought,4747,1498667230
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xa0a59ca1ee70155da46bb8913d6d87c28dd4a7a3,Zombie,PunkBought,3831,1499197867
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xa0a59ca1ee70155da46bb8913d6d87c28dd4a7a3,Zombie,PunkBought,9203,1499203708
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xff84140cedeee480b804d211b48a2a6d68ba5941,Zombie,PunkBought,1935,1499203599
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x7174039818a41e1ae40fdcfa3e293b0f41592af2,Zombie,PunkBought,2938,1499396887
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x7174039818a41e1ae40fdcfa3e293b0f41592af2,Zombie,PunkBought,3328,1518841862
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x7760e0243ca9baa630412865df7b39afba42ff0f,Zombie,PunkBought,8780,1504377013
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x7760e0243ca9baa630412865df7b39afba42ff0f,Zombie,PunkBought,2708,1504377628
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x8ca89c56aefd379baa15e0ec91c7f5ae7f5b096f,Zombie,PunkBought,2967,1513238421
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0x3d826e692d336578bd4e1a4b7ba57aca8668c79f,Zombie,PunkBought,6649,1534282834
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Ape,PunkTransfer,8498,1556501748
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,1478,1556503664
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Ape,PunkTransfer,5217,1556503848
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,8472,1556504009
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,6784,1556504041
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,3393,1556504204
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,9474,1556504282
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,7121,1556504381
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,8553,1556504418
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,2066,1556504434
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,2566,1556504523
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,2424,1556504566
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,8531,1556504640
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,5066,1556504723
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,6586,1556504769
0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,0xe83c750b2708320bb134796c555b80df39a3d97b,Zombie,PunkTransfer,8307,1556504815
